Wavelength Flux
1.094756000000000062e-01 2.013876478773601875e-12
1.095853000000000105e-01 1.925282199291555862e-12
1.096952000000000066e-01 1.835047521922539282e-12
1.098050999999999888e-01 1.892469687903020059e-12
1.099152000000000046e-01 1.989266824181656901e-12
1.100253999999999954e-01 2.119697212893401073e-12
1.101357000000000030e-01 2.319034070677461479e-12
1.102460999999999997e-01 2.516730313734116820e-12
1.103565999999999991e-01 2.700481114767394608e-12
1.104673000000000044e-01 2.844036421298379302e-12
1.105779999999999957e-01 3.045834201173547306e-12
1.106888999999999929e-01 3.433843921013535194e-12
1.107998000000000038e-01 4.486309761186912937e-12
1.109108999999999928e-01 7.789722859807834965e-12
1.110220999999999986e-01 1.533991336732931643e-11
1.111334000000000072e-01 2.403526683236734129e-11
1.112448000000000048e-01 3.404312595711722622e-11
1.113563000000000053e-01 3.880916074616713729e-11
1.114680000000000115e-01 4.770139144794072195e-11
1.115797000000000039e-01 8.449257266063270322e-11
1.116915999999999881e-01 8.523085709422062450e-11
1.118035000000000140e-01 8.244178256733292187e-11
1.119155999999999901e-01 1.173872526960550999e-10
1.120277999999999968e-01 1.142700517542394323e-10
1.121401000000000064e-01 7.428783976859421045e-11
1.122526000000000079e-01 7.210580049710202388e-11
1.123651000000000094e-01 1.325630993864734819e-10
1.124776999999999999e-01 1.634069962674900012e-10
1.125904999999999961e-01 1.670163868316976163e-10
1.127034000000000091e-01 1.386334519404286425e-10
1.128162999999999944e-01 8.506679388675664200e-11
1.129294000000000131e-01 6.154832893345840716e-11
1.130426999999999960e-01 1.000785843086049454e-10
1.131559999999999927e-01 1.506920976890313568e-10
1.132693999999999923e-01 1.561882151390747708e-10
1.133829999999999977e-01 1.370748514695208087e-10
1.134965999999999892e-01 1.506100660852993656e-10
1.136104000000000003e-01 1.865399085199115348e-10
1.137243000000000004e-01 1.828484863519719283e-10
1.138383000000000034e-01 1.299380880670497618e-10
1.139525000000000121e-01 7.205657598374770600e-11
1.140666999999999931e-01 7.592027007063961719e-11
1.141809999999999908e-01 1.075434602482161495e-10
1.142954999999999943e-01 1.104965979825678346e-10
1.144101000000000146e-01 1.145981781691673973e-10
1.145248000000000099e-01 1.494616236330514880e-10
1.146395999999999943e-01 1.594694792883544210e-10
1.147545000000000093e-01 1.515944453300832606e-10
1.148695999999999884e-01 1.642273123048099137e-10
1.149846999999999952e-01 1.749734523937007680e-10
1.150999999999999940e-01 1.744812627713088204e-10
1.152199951171875014e-01 1.653953224378668097e-10
1.153400024414062558e-01 2.270244547908362165e-10
1.156900024414062450e-01 3.360453582068601008e-10
1.158099975585937524e-01 3.924693903201159628e-10
1.159300048828125068e-01 2.108109242726641241e-10
1.160400024414062481e-01 1.147143005586492848e-10
1.161599975585937555e-01 2.211897748294333610e-10
1.162800048828124960e-01 2.602173199139912185e-10
1.164000000000000035e-01 1.273565974901913478e-10
1.165199951171874970e-01 4.340448486739312273e-11
1.169900024414062545e-01 4.164827510644286690e-11
1.171099975585937480e-01 6.639244015671508237e-11
1.172199951171875032e-01 1.628556837995898121e-11
1.173400024414062437e-01 6.800850854693507586e-11
1.174599975585937511e-01 1.126578066945604917e-10
1.175800048828125055e-01 5.592133700549339892e-11
1.185199951171874988e-01 2.055743943130128315e-11
1.198199951171874944e-01 1.210790235434133777e-11
1.199400024414062488e-01 2.344301662515757556e-11
1.201699951171874975e-01 0.000000000000000000e+00
1.202900024414062519e-01 0.000000000000000000e+00
1.204099975585937454e-01 0.000000000000000000e+00
1.205300048828124998e-01 0.000000000000000000e+00
1.206499999999999934e-01 0.000000000000000000e+00
1.207599975585937485e-01 0.000000000000000000e+00
1.208800048828125029e-01 0.000000000000000000e+00
1.209999999999999964e-01 0.000000000000000000e+00
1.211199951171875039e-01 0.000000000000000000e+00
1.212400024414062444e-01 0.000000000000000000e+00
1.213499999999999995e-01 0.000000000000000000e+00
1.214699951171874931e-01 0.000000000000000000e+00
1.215900024414062475e-01 0.000000000000000000e+00
1.217099975585937549e-01 0.000000000000000000e+00
1.218300048828124954e-01 0.000000000000000000e+00
1.219400024414062506e-01 0.000000000000000000e+00
1.220599975585937441e-01 0.000000000000000000e+00
1.221800048828124985e-01 0.000000000000000000e+00
1.223000000000000059e-01 0.000000000000000000e+00
1.224199951171874995e-01 0.000000000000000000e+00
1.225300048828125016e-01 0.000000000000000000e+00
1.226499999999999951e-01 0.000000000000000000e+00
