name,mean_final_rating,grade,object_type,r_e,r_e_err,objid_lens,objid,ra,dec,g,r,i,z
DELJ121516-333601,1.25,A,source,,,10947300200925.0,10947300122200.0,183.81711964830245,-33.60191676443854,,21.765701,21.138199,21.674902
DELJ121516-333601,1.25,A,source,,,10947300200925.0,10947300015200.0,183.81763853130792,-33.599326766002534,22.018753,,,
DELJ121516-333601,1.25,A,source,,,10947300200925.0,10947300015201.0,183.81811341431148,-33.599804691568266,20.882175,,,
DELJ121516-333601,1.25,A,source,,,10947300200925.0,10947300015202.0,183.81834112971387,-33.600762162905944,21.875764999999998,,,
DELJ121719-213108,1.3333333333333333,A,lens,3.9017680990964614,1.0658090890300391,10844900015323.0,10844900015323.0,184.3294812087125,-21.51893003183744,21.25904,19.516628,18.429748999999997,18.029529999999998
DELJ121719-213108,1.3333333333333333,A,source,,,10844900015323.0,10844900015322.0,184.32863387618957,-21.51850417618506,22.147934,,,
DELJ121719-213108,1.3333333333333333,A,source,,,10844900015323.0,10844900105215.0,184.32914418276752,-21.51795983858953,21.9929,21.092707,20.552065,20.401718
DELJ121719-213108,1.3333333333333333,A,source,,,10844900015323.0,10844900015325.0,184.3293241187086,-21.520492244308,23.36638,,,
DELJ121719-213108,1.3333333333333333,A,source,,,10844900015323.0,10844900015327.0,184.33021516465783,-21.51842257900097,22.464842,,,
DELJ123025-083839,1.25,A,lens,2.8201371706030334,0.44149494055225424,10704300114844.0,10704300114844.0,187.6072561610064,-8.644366647437067,20.625248000000003,19.194544,18.139057,17.776194
DELJ123025-083839,1.25,A,source,,,10704300114844.0,10704300104150.0,187.60718653328175,-8.645048130611542,21.618809,20.282688,19.649076,
DELJ123025-083839,1.25,A,source,,,10704300114844.0,10704300021414.0,187.6075357431937,-8.643529296601912,20.689514000000003,19.877102,19.179794,
DELJ123820-225506,1.25,A,lens,1.6080959627703393,0.2983550839417925,10845100009298.0,10845100009298.0,189.58728581349416,-22.91836656205257,21.933096,20.215637,19.475494,19.075935
DELJ123820-225506,1.25,A,source,,,10845100009298.0,10845100017570.0,189.5872354969527,-22.91884996367668,22.26445,,,
DELJ123820-225506,1.25,A,source,,,10845100009298.0,10845100182375.0,189.5877074076056,-22.918491011905203,21.708723000000003,,,
DELJ123824-155929,1.25,A,lens,1.6847957208353659,0.3126738335861375,10793900013522.0,10793900013522.0,189.60274653991985,-15.991545344892176,19.371376,18.396282,18.112007000000002,17.951096
DELJ123824-155929,1.25,A,source,,,10793900013522.0,10793900013523.0,189.60243799515231,-15.991907351289484,20.13692,,,
DELJ125236-091008,0.8333333333333334,A,lens,3.886229000701009,0.46947557812829377,10717200029815.0,10717200029815.0,193.15026310183654,-9.16916535567772,20.492754,18.890299,18.312328,17.99944
DELJ125236-091008,0.8333333333333334,A,source,,,10717200029815.0,10717200143845.0,193.14923822545086,-9.169541704684818,21.4864,20.831182000000002,20.605728,20.113716
DELJ125542-135151,1.4166666666666667,A,lens,4.601149145034813,0.3149870263040733,10755700004446.0,10755700004446.0,193.9286392328285,-13.86423793078491,20.697708,19.183510000000002,18.776352,18.157646
DELJ125542-135151,1.4166666666666667,A,source,,,10755700004446.0,10755700077932.0,193.92927036349928,-13.865304575250887,21.08035,20.257523000000003,19.945133,
DELJ125542-135151,1.4166666666666667,A,source,,,10755700004446.0,10755700003679.0,193.92997920229243,-13.864494962321134,21.140213,20.46731,20.198276999999997,20.0685
DELJ125744-314003,0.9166666666666666,A,lens,4.131102627581992,0.4899384136768094,10934900082923.0,10934900082923.0,194.43405970449692,-31.66757601086541,20.575878,19.506168,18.971317000000003,18.694193
DELJ125744-314003,0.9166666666666666,A,source,,,10934900082923.0,10934900082924.0,194.43271784318557,-31.667464217764767,21.52489,20.952171,20.954615,20.574894
DELJ132733-412957,1.4166666666666667,A,lens,3.3529741889114453,0.5219002008319866,11024700361694.0,11024700361694.0,201.8875551221542,-41.49932467592527,20.986332,19.63692,19.457722,19.399157000000002
DELJ132733-412957,1.4166666666666667,A,source,,,11024700361694.0,11024700080000.0,201.88783578862575,-41.498546335185274,20.892727,,21.770096,
DELJ132733-412957,1.4166666666666667,A,source,,,11024700361694.0,11024700056127.0,201.88854291277138,-41.4985704016878,21.705214,,21.427704000000002,
DELJ135125-232820,1.3333333333333333,A,lens,3.5122092394795015,0.5409356454227373,10858600020500.0,10858600020500.0,207.85623453935918,-23.472342519192523,19.988844,18.651579,18.33887,18.409676
DELJ135125-232820,1.3333333333333333,A,source,,,10858600020500.0,10858600217281.0,207.855673483448,-23.47314968848015,,,,20.524307
DELJ135125-232820,1.3333333333333333,A,source,,,10858600020500.0,10858600003727.0,207.85574281582538,-23.4734344737723,21.416764999999998,,,
DELJ135125-232820,1.3333333333333333,A,source,,,10858600020500.0,10858600003738.0,207.85585015282132,-23.471665736215172,20.703497,,,
DELJ135125-232820,1.3333333333333333,A,source,,,10858600020500.0,10858600208744.0,207.85615457716372,-23.47146089934216,,,,20.026954999999997
DELJ135125-232820,1.3333333333333333,A,source,,,10858600020500.0,10858600003740.0,207.8567384119875,-23.471435686853734,20.33026,,19.50188,
DELJ135125-232820,1.3333333333333333,A,source,,,10858600020500.0,10858600003739.0,207.8573739736651,-23.472436585285312,22.016489,,,
DELJ140320-095209,0.9166666666666666,A,lens,2.2844378740761444,0.34866333906095626,10730700102688.0,10730700102688.0,210.83354554635326,-9.869427302747596,19.802692,18.638863,18.322886999999998,18.040820999999998
DELJ140320-095209,0.9166666666666666,A,source,,,10730700102688.0,10730700023902.0,210.83311852197232,-9.868952243479967,21.147083,,,
DELJ140447-062311,0.6666666666666666,A,lens,1.407243256324266,0.2986350545811748,10679500013583.0,10679500013583.0,211.19961019669705,-6.386482819839258,21.80173,21.576313,20.85042,20.509396
DELJ140447-062311,0.6666666666666666,A,source,,,10679500013583.0,10679500186377.0,211.20000312196842,-6.386464832881813,,,,20.380806
DELJ141337-020147,1.0833333333333333,A,lens,3.065988962968313,0.26536090058192663,10628400094667.0,10628400094667.0,213.40700341539585,-2.029827774031858,19.45041,18.044039,17.583431,17.318724
DELJ141337-020147,1.0833333333333333,A,source,,,10628400094667.0,10628400036733.0,213.40654503802682,-2.0305351136930767,20.723670000000002,,,
DELJ141337-020147,1.0833333333333333,A,source,,,10628400094667.0,10628400036736.0,213.40786438867556,-2.029810417728456,20.328568,,,
DELJ141748-153603,1.25,A,lens,2.00479061462819,0.3310157308724357,10782000107950.0,10782000107950.0,214.4527919698432,-15.600835683085707,18.745805999999998,17.563370000000003,17.08503,16.8093
DELJ141748-153603,1.25,A,source,,,10782000107950.0,nan,214.4530216,-15.6003246,,,,
DELJ142623-250500,0.8333333333333334,A,lens,2.6386869284013854,0.37283541551355254,10884500263208.0,10884500263208.0,216.5992001911384,-25.08359976647189,20.47802,18.746342000000002,18.210472,17.922482000000002
DELJ142623-250500,0.8333333333333334,A,source,,,10884500263208.0,10884500008291.0,216.59965220084274,-25.084207755935488,21.07309,,,
DELJ142919-393600,1.0833333333333333,A,lens,1.9515798918948306,0.32782037878155534,11012500204279.0,11012500204279.0,217.3328329314661,-39.60024483921881,21.635925,20.881647,20.471191,20.206348000000002
DELJ142919-393600,1.0833333333333333,A,source,,,11012500204279.0,11012500272698.0,217.33227580629932,-39.599913774120886,21.26933,20.589882,20.287891000000002,20.148619
DELJ143207-050100,0.75,A,lens,2.0383025820118292,0.33305605257728155,10666900073073.0,10666900073073.0,218.03268075411117,-5.016926852370588,20.289562,19.727522,19.405497,19.423119
DELJ143207-050100,0.75,A,source,,,10666900073073.0,10666900092919.0,218.03215080644745,-5.016722206068863,21.756529999999998,21.330617999999998,,
DELJ154548-374851,1.5,A,lens,1.8525070453309165,0.3526012450001678,10987600045877.0,10987600045877.0,236.45269438912842,-37.81437942786185,18.667213,17.541847,18.332956,18.092842
DELJ154548-374851,1.5,A,source,,,10987600045877.0,10987600593353.0,236.452174684343,-37.814071555573676,,,19.415962,19.314653
DELJ154548-374851,1.5,A,source,,,10987600045877.0,10987600593375.0,236.452659586481,-37.81495082807549,20.168919,,19.209038,19.059611999999998
DELJ154548-374851,1.5,A,source,,,10987600045877.0,10987600593391.0,236.45296641131503,-37.81385767645892,20.043922,,19.017426,18.876625
DELJ154548-374851,1.5,A,source,,,10987600045877.0,10987600593396.0,236.45321117165366,-37.81440097965268,,,18.953732000000002,18.82074
DESI-135.7240-06.2970,1.3333333333333333,A,lens,3.0094332945761586,0.2892083192282847,10676800104065.0,10676800104065.0,135.72397753674335,-6.296998151134543,20.667442,19.017115,18.519966,18.171795
DESI-135.7240-06.2970,1.3333333333333333,A,source,,,10676800104065.0,10676800141216.0,135.72383705488622,-6.296140314543437,20.718582,20.224693,19.416513000000002,19.563246
DESI-135.7240-06.2970,1.3333333333333333,A,source,,,10676800104065.0,10676800037725.0,135.72444195535974,-6.297654936506787,20.557337,20.30484,20.018831,19.38146
